Unnamed: 0,english_name,primary_type,secondary_type,description,filepath,pokemon_group
27,alakazam-mega,psychic,,"It’s adept at precognition. When attacks completely miss Alakazam, that’s because it’s seeing the future. ",alakazam-mega.png,alakazam
28,alakazam-mega_shiny,psychic,,"It’s adept at precognition. When attacks completely miss Alakazam, that’s because it’s seeing the future. ",alakazam-mega_shiny.png,alakazam
29,alakazam_shiny,psychic,,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",alakazam_shiny.png,alakazam
30,alcremie,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie.png,alcremie
31,alcremie-caramel-swirl-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-berry.png,alcremie
32,alcremie-caramel-swirl-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-berry_shiny.png,alcremie
33,alcremie-caramel-swirl-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-clover.png,alcremie
34,alcremie-caramel-swirl-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-clover_shiny.png,alcremie
35,alcremie-caramel-swirl-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-flower.png,alcremie
36,alcremie-caramel-swirl-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-flower_shiny.png,alcremie
37,alcremie-caramel-swirl-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-love.png,alcremie
38,alcremie-caramel-swirl-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-love_shiny.png,alcremie
39,alcremie-caramel-swirl-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-plain.png,alcremie
40,alcremie-caramel-swirl-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-plain_shiny.png,alcremie
41,alcremie-caramel-swirl-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-ribbon.png,alcremie
42,alcremie-caramel-swirl-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-ribbon_shiny.png,alcremie
43,alcremie-caramel-swirl-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-star.png,alcremie
44,alcremie-caramel-swirl-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-star_shiny.png,alcremie
45,alcremie-caramel-swirl-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-strawberry.png,alcremie
46,alcremie-caramel-swirl-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-caramel-swirl-strawberry_shiny.png,alcremie
47,alcremie-gmax,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-gmax.png,alcremie
48,alcremie-gmax_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-gmax_shiny.png,alcremie
49,alcremie-lemon-cream-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-berry.png,alcremie
50,alcremie-lemon-cream-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-berry_shiny.png,alcremie
51,alcremie-lemon-cream-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-clover.png,alcremie
52,alcremie-lemon-cream-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-clover_shiny.png,alcremie
53,alcremie-lemon-cream-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-flower.png,alcremie
54,alcremie-lemon-cream-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-flower_shiny.png,alcremie
55,alcremie-lemon-cream-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-love.png,alcremie
56,alcremie-lemon-cream-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-love_shiny.png,alcremie
57,alcremie-lemon-cream-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-plain.png,alcremie
58,alcremie-lemon-cream-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-plain_shiny.png,alcremie
59,alcremie-lemon-cream-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-ribbon.png,alcremie
60,alcremie-lemon-cream-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-ribbon_shiny.png,alcremie
61,alcremie-lemon-cream-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-star.png,alcremie
62,alcremie-lemon-cream-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-star_shiny.png,alcremie
63,alcremie-lemon-cream-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-strawberry.png,alcremie
64,alcremie-lemon-cream-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-lemon-cream-strawberry_shiny.png,alcremie
65,alcremie-matcha-cream-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-berry.png,alcremie
66,alcremie-matcha-cream-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-berry_shiny.png,alcremie
67,alcremie-matcha-cream-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-clover.png,alcremie
68,alcremie-matcha-cream-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-clover_shiny.png,alcremie
69,alcremie-matcha-cream-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-flower.png,alcremie
70,alcremie-matcha-cream-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-flower_shiny.png,alcremie
71,alcremie-matcha-cream-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-love.png,alcremie
72,alcremie-matcha-cream-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-love_shiny.png,alcremie
73,alcremie-matcha-cream-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-plain.png,alcremie
74,alcremie-matcha-cream-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-plain_shiny.png,alcremie
75,alcremie-matcha-cream-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-ribbon.png,alcremie
76,alcremie-matcha-cream-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-ribbon_shiny.png,alcremie
77,alcremie-matcha-cream-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-star.png,alcremie
78,alcremie-matcha-cream-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-star_shiny.png,alcremie
79,alcremie-matcha-cream-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-strawberry.png,alcremie
80,alcremie-matcha-cream-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-matcha-cream-strawberry_shiny.png,alcremie
81,alcremie-mint-cream-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-berry.png,alcremie
82,alcremie-mint-cream-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-berry_shiny.png,alcremie
83,alcremie-mint-cream-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-clover.png,alcremie
84,alcremie-mint-cream-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-clover_shiny.png,alcremie
85,alcremie-mint-cream-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-flower.png,alcremie
86,alcremie-mint-cream-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-flower_shiny.png,alcremie
87,alcremie-mint-cream-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-love.png,alcremie
88,alcremie-mint-cream-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-love_shiny.png,alcremie
89,alcremie-mint-cream-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-plain.png,alcremie
90,alcremie-mint-cream-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-plain_shiny.png,alcremie
91,alcremie-mint-cream-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-ribbon.png,alcremie
92,alcremie-mint-cream-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-ribbon_shiny.png,alcremie
93,alcremie-mint-cream-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-star.png,alcremie
94,alcremie-mint-cream-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-star_shiny.png,alcremie
95,alcremie-mint-cream-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-strawberry.png,alcremie
96,alcremie-mint-cream-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-mint-cream-strawberry_shiny.png,alcremie
97,alcremie-rainbow-swirl-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-berry.png,alcremie
98,alcremie-rainbow-swirl-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-berry_shiny.png,alcremie
99,alcremie-rainbow-swirl-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-clover.png,alcremie
100,alcremie-rainbow-swirl-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-clover_shiny.png,alcremie
101,alcremie-rainbow-swirl-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-flower.png,alcremie
102,alcremie-rainbow-swirl-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-flower_shiny.png,alcremie
103,alcremie-rainbow-swirl-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-love.png,alcremie
104,alcremie-rainbow-swirl-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-love_shiny.png,alcremie
105,alcremie-rainbow-swirl-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-plain.png,alcremie
106,alcremie-rainbow-swirl-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-plain_shiny.png,alcremie
107,alcremie-rainbow-swirl-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-ribbon.png,alcremie
108,alcremie-rainbow-swirl-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-ribbon_shiny.png,alcremie
109,alcremie-rainbow-swirl-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-star.png,alcremie
110,alcremie-rainbow-swirl-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-star_shiny.png,alcremie
111,alcremie-rainbow-swirl-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-strawberry.png,alcremie
112,alcremie-rainbow-swirl-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-rainbow-swirl-strawberry_shiny.png,alcremie
113,alcremie-ruby-cream-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-berry.png,alcremie
114,alcremie-ruby-cream-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-berry_shiny.png,alcremie
115,alcremie-ruby-cream-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-clover.png,alcremie
116,alcremie-ruby-cream-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-clover_shiny.png,alcremie
117,alcremie-ruby-cream-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-flower.png,alcremie
118,alcremie-ruby-cream-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-flower_shiny.png,alcremie
119,alcremie-ruby-cream-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-love.png,alcremie
120,alcremie-ruby-cream-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-love_shiny.png,alcremie
121,alcremie-ruby-cream-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-plain.png,alcremie
122,alcremie-ruby-cream-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-plain_shiny.png,alcremie
123,alcremie-ruby-cream-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-ribbon.png,alcremie
124,alcremie-ruby-cream-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-ribbon_shiny.png,alcremie
125,alcremie-ruby-cream-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-star.png,alcremie
126,alcremie-ruby-cream-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-star_shiny.png,alcremie
127,alcremie-ruby-cream-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-strawberry.png,alcremie
128,alcremie-ruby-cream-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-cream-strawberry_shiny.png,alcremie
129,alcremie-ruby-swirl-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-berry.png,alcremie
130,alcremie-ruby-swirl-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-berry_shiny.png,alcremie
131,alcremie-ruby-swirl-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-clover.png,alcremie
132,alcremie-ruby-swirl-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-clover_shiny.png,alcremie
133,alcremie-ruby-swirl-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-flower.png,alcremie
134,alcremie-ruby-swirl-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-flower_shiny.png,alcremie
135,alcremie-ruby-swirl-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-love.png,alcremie
136,alcremie-ruby-swirl-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-love_shiny.png,alcremie
137,alcremie-ruby-swirl-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-plain.png,alcremie
138,alcremie-ruby-swirl-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-plain_shiny.png,alcremie
139,alcremie-ruby-swirl-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-ribbon.png,alcremie
140,alcremie-ruby-swirl-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-ribbon_shiny.png,alcremie
141,alcremie-ruby-swirl-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-star.png,alcremie
142,alcremie-ruby-swirl-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-star_shiny.png,alcremie
143,alcremie-ruby-swirl-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-strawberry.png,alcremie
144,alcremie-ruby-swirl-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-ruby-swirl-strawberry_shiny.png,alcremie
145,alcremie-salted-cream-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-berry.png,alcremie
146,alcremie-salted-cream-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-berry_shiny.png,alcremie
147,alcremie-salted-cream-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-clover.png,alcremie
148,alcremie-salted-cream-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-clover_shiny.png,alcremie
149,alcremie-salted-cream-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-flower.png,alcremie
150,alcremie-salted-cream-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-flower_shiny.png,alcremie
151,alcremie-salted-cream-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-love.png,alcremie
152,alcremie-salted-cream-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-love_shiny.png,alcremie
153,alcremie-salted-cream-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-plain.png,alcremie
154,alcremie-salted-cream-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-plain_shiny.png,alcremie
155,alcremie-salted-cream-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-ribbon.png,alcremie
156,alcremie-salted-cream-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-ribbon_shiny.png,alcremie
157,alcremie-salted-cream-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-star.png,alcremie
158,alcremie-salted-cream-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-star_shiny.png,alcremie
159,alcremie-salted-cream-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-strawberry.png,alcremie
160,alcremie-salted-cream-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-salted-cream-strawberry_shiny.png,alcremie
161,alcremie-vanilla-cream-berry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-berry.png,alcremie
162,alcremie-vanilla-cream-berry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-berry_shiny.png,alcremie
163,alcremie-vanilla-cream-clover,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-clover.png,alcremie
164,alcremie-vanilla-cream-clover_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-clover_shiny.png,alcremie
165,alcremie-vanilla-cream-flower,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-flower.png,alcremie
166,alcremie-vanilla-cream-flower_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-flower_shiny.png,alcremie
167,alcremie-vanilla-cream-love,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-love.png,alcremie
168,alcremie-vanilla-cream-love_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-love_shiny.png,alcremie
169,alcremie-vanilla-cream-plain,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-plain.png,alcremie
170,alcremie-vanilla-cream-plain_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-plain_shiny.png,alcremie
171,alcremie-vanilla-cream-ribbon,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-ribbon.png,alcremie
172,alcremie-vanilla-cream-ribbon_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-ribbon_shiny.png,alcremie
173,alcremie-vanilla-cream-star,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-star.png,alcremie
174,alcremie-vanilla-cream-star_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-star_shiny.png,alcremie
175,alcremie-vanilla-cream-strawberry,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-strawberry.png,alcremie
176,alcremie-vanilla-cream-strawberry_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie-vanilla-cream-strawberry_shiny.png,alcremie
177,alcremie_shiny,fairy,,"When it trusts a Trainer, it will treat them to berries it's decorated with cream.",alcremie_shiny.png,alcremie
178,alomomola,water,,"Fishermen take them along on long voyages, because if you have an Alomomola with you, there’ll be no need for a doctor or medicine.",alomomola.png,alomomola
